a	b
0	1350.891113
0	1350.952148
0	1350.891113
0	1351.013184
0	1351.135254
0	1350.952148
0	1351.074219
0	1351.013184
0	1350.952148
0	1351.074219
6.007326007	1351.074219
21.97802198	1352.294922
21.68498168	1352.111816
18.60805861	1352.172852
20.07326007	1351.989746
23.44322344	1352.111816
30.32967033	1352.416992
31.06227106	1352.600098
30.18315018	1352.661133
30.03663004	1352.600098
34.28571429	1352.416992
38.24175824	1352.722168
39.41391941	1352.783203
36.63003663	1352.783203
38.68131868	1352.783203
45.56776557	1352.966309
50.84249084	1353.271484
50.25641026	1352.966309
51.28205128	1353.027344
50.25641026	1353.088379
54.35897436	1353.149414
59.63369963	1353.393555
60.95238095	1353.393555
61.39194139	1353.515625
59.04761905	1353.33252
63.58974359	1353.515625
70.76923077	1353.759766
69.45054945	1353.69873
69.3040293	1353.820801
69.15750916	1353.57666
74.87179487	1353.942871
79.85347985	1354.064941
80.87912088	1354.248047
80	1353.881836
79.85347985	1354.187012
82.78388278	1354.248047
91.28205128	1354.492188
92.30769231	1354.492188
86.59340659	1354.492188
92.45421245	1354.431152
94.50549451	1354.492188
100.0732601	1354.858398
101.8315018	1354.858398
99.34065934	1354.797363
102.5641026	1354.736328
105.4945055	1354.797363
110.03663	1355.041504
109.4505495	1355.102539
108.2783883	1355.041504
112.8205128	1355.102539
115.8974359	1355.224609
122.0512821	1355.34668
120.4395604	1355.59082
120.8791209	1355.46875
121.4652015	1355.407715
123.8095238	1355.46875
128.3516484	1355.834961
130.8424908	1355.651855
131.5750916	1355.773926
130.2564103	1355.834961
136.5567766	1355.895996
141.0989011	1356.079102
141.6849817	1356.140137
139.3406593	1356.018066
141.8315018	1356.140137
144.4688645	1356.262207
150.9157509	1356.262207
153.5531136	1356.384277
151.2087912	1356.384277
150.7692308	1356.445313
153.5531136	1356.506348
160.7326007	1356.689453
162.6373626	1356.750488
162.0512821	1356.872559
162.6373626	1356.689453
164.8351648	1356.811523
171.8681319	1357.116699
170.989011	1357.055664
172.7472527	1357.177734
171.5750916	1357.23877
176.2637363	1357.299805
183.003663	1357.48291
181.2454212	1357.421875
182.1245421	1357.543945
181.3919414	1357.48291
185.0549451	1357.60498
191.6483516	1357.910156
193.1135531	1357.971191
192.967033	1357.971191
191.7948718	1357.910156
197.5091575	1357.971191
200.5860806	1358.337402
203.5164835	1358.398438
196.6300366	1358.337402
201.3186813	1358.215332
206.8864469	1358.459473
210.5494505	1358.703613
210.1098901	1358.825684
210.6959707	1358.703613
208.9377289	1358.581543
216.4102564	1358.764648
223.4432234	1359.191895
223.1501832	1359.130859
222.4175824	1359.130859
221.2454212	1359.191895
227.2527473	1359.25293
231.9413919	1359.49707
231.9413919	1359.619141
230.4761905	1359.558105
231.9413919	1359.436035
236.3369963	1359.619141
242.9304029	1359.924316
240.4395604	1359.863281
243.3699634	1359.924316
243.956044	1359.863281
246.1538462	1360.107422
251.4285714	1360.351563
253.6263736	1360.290527
252.8937729	1360.351563
250.8424908	1360.290527
256.4102564	1360.473633
261.978022	1360.839844
258.021978	1360.778809
264.7619048	1360.778809
263.003663	1360.778809
268.8644689	1360.900879
273.1135531	1361.206055
273.5531136	1361.206055
271.6483516	1361.14502
272.3809524	1361.14502
276.4835165	1361.328125
282.6373626	1361.633301
283.6630037	1361.572266
280.8791209	1361.572266
284.5421245	1361.572266
287.6190476	1361.755371
292.3076923	1361.999512
291.4285714	1361.999512
293.9194139	1362.060547
291.7216117	1361.999512
297.7289377	1362.182617
305.3479853	1362.426758
301.8315018	1362.487793
303.2967033	1362.365723
301.5384615	1362.426758
308.8644689	1362.548828
311.7948718	1362.731934
312.6739927	1362.792969
313.5531136	1362.792969
312.5274725	1362.976074
317.5091575	1362.976074
324.981685	1363.28125
323.0769231	1363.28125
321.7582418	1363.220215
322.3443223	1363.342285
327.032967	1363.525391
333.3333333	1363.647461
334.9450549	1363.647461
333.4798535	1363.708496
332.014652	1363.708496
337.1428571	1363.891602
343.8827839	1364.135742
342.5641026	1364.074707
344.1758242	1364.074707
346.6666667	1364.196777
348.2783883	1364.257813
354.7252747	1364.562988
353.8461538	1364.501953
357.2161172	1364.379883
355.7509158	1364.379883
357.3626374	1364.685059
366.4468864	1365.05127
364.3956044	1364.868164
364.2490842	1364.990234
365.8608059	1365.05127
367.3260073	1365.05127
375.0915751	1365.356445
376.5567766	1365.478516
374.5054945	1365.478516
373.6263736	1365.29541
375.970696	1365.661621
382.8571429	1365.905762
384.6153846	1365.783691
383.8827839	1365.844727
386.5201465	1365.844727
388.4249084	1365.966797
395.7509158	1366.027832
395.8974359	1366.271973
392.967033	1366.271973
395.4578755	1366.333008
400.7326007	1366.455078
408.2051282	1366.638184
404.6886447	1366.699219
405.7142857	1366.699219
405.5677656	1366.638184
411.1355311	1366.760254
414.9450549	1367.126465
414.9450549	1367.06543
416.2637363	1367.06543
415.970696	1367.126465
420.0732601	1367.30957
426.959707	1367.553711
424.9084249	1367.614746
425.6410256	1367.492676
426.6666667	1367.431641
427.985348	1367.675781
434.2857143	1368.041992
437.3626374	1367.919922
435.6043956	1368.164063
