a	b	c	d	e	f
0.854755163	0	0.567626953	1340.881348	1340.789795	0.091552734
2.977086067	0	0.659179688	1340.85083	1340.759277	0.091552734
4.975682974	0	0.842285156	1340.911865	1340.72876	0.183105469
5.954101086	2.97550927	0.741577148	1340.881348	1340.72876	0.152587891
8.976875067	2.97550927	0.650024414	1340.881348	1340.72876	0.152587891
10.97596598	2.97550927	0.622558594	1341.033936	1340.759277	0.274658203
11.95590019	5.996795605	1.217651367	1340.789795	1340.72876	0.061035156
14.97832417	5.996795605	0.55847168	1340.9729	1340.759277	0.213623047
16.97751307	5.996795605	1.062011719	1340.9729	1340.606689	0.366210938
17.95594907	8.972304875	0.210571289	1340.820313	1340.576172	0.244140625
20.97912407	8.972304875	14.98718262	1342.926025	1340.911865	2.014160156
22.97731113	8.972304875	15.11535645	1343.719482	1340.942383	2.777099609
23.9564991	11.99359121	16.47033691	1343.994141	1341.033936	2.960205078
26.95978808	11.99359121	18.06335449	1344.604492	1341.094971	3.509521484
28.95760298	11.99359121	18.09997559	1344.818115	1341.064453	3.753662109
29.94159818	14.96910048	19.44580078	1344.940186	1341.308594	3.631591797
32.96006703	14.96910048	21.03881836	1345.336914	1341.156006	4.180908203
34.959167	14.96910048	21.05712891	1345.458984	1341.247559	4.211425781
35.93809414	17.99038682	22.47619629	1345.52002	1341.247559	4.272460938
38.96011806	17.99038682	24.13330078	1345.977783	1341.430664	4.547119141
40.9592011	17.99038682	24.05090332	1346.160889	1341.308594	4.852294922
41.93813801	20.96589609	25.47912598	1346.221924	1341.430664	4.791259766
44.96116805	20.96589609	27.06298828	1346.435547	1341.552734	4.8828125
46.96037817	20.96589609	27.03552246	1346.710205	1341.461182	5.249023438
47.93959403	23.98718242	28.3996582	1346.862793	1341.430664	5.432128906
50.96258307	23.98718242	29.95605469	1347.167969	1341.491699	5.676269531
52.96067214	23.98718242	29.96520996	1347.167969	1341.522217	5.645751953
53.93976402	26.96269169	31.3659668	1347.320557	1341.430664	5.889892578
56.96295905	26.96269169	32.99560547	1347.717285	1341.491699	6.225585938
58.96236706	26.96269169	33.09631348	1347.839355	1341.522217	6.317138672
59.9415381	29.98397803	34.38720703	1347.717285	1341.522217	6.195068359
62.96349406	29.98397803	35.9161377	1348.175049	1341.522217	6.652832031
64.96316218	29.98397803	35.95275879	1348.266602	1341.583252	6.683349609
65.94233513	32.9594873	37.24365234	1348.297119	1341.583252	6.713867188
68.9642942	32.9594873	38.78173828	1348.571777	1341.61377	6.958007813
70.96395707	32.9594873	38.79089355	1348.846436	1341.674805	7.171630859
71.94313312	35.98077363	40.23742676	1348.693848	1341.674805	7.019042969
74.96511197	35.98077363	41.7388916	1349.182129	1341.888428	7.293701172
76.96468401	35.98077363	41.75720215	1349.212646	1341.644287	7.568359375
77.9439311	38.9562829	43.11218262	1349.304199	1341.85791	7.446289063
80.96614814	38.9562829	44.73266602	1349.639893	1341.796875	7.843017578
82.96446609	38.9562829	44.77844238	1349.79248	1341.705322	8.087158203
83.94392419	41.97756924	46.10595703	1349.639893	1341.827393	7.8125
86.96743512	41.97756924	47.84545898	1350.219727	1341.888428	8.331298828
88.96576405	41.97756924	47.82714844	1350.189209	1341.827393	8.361816406
89.94522119	44.99885557	49.18212891	1350.311279	1341.949463	8.361816406
92.9674902	44.99885557	50.86669922	1350.708008	1342.041016	8.666992188
94.96708512	44.99885557	50.88500977	1350.708008	1341.949463	8.758544922
95.9452672	47.97436484	52.25830078	1350.708008	1341.97998	8.728027344
98.96878409	47.97436484	53.74145508	1351.104736	1341.97998	9.124755859
100.9671092	47.97436484	53.74145508	1351.257324	1342.010498	9.246826172
101.9465621	50.99565118	55.23376465	1351.348877	1342.041016	9.307861328
104.969831	50.99565118	56.77185059	1351.745605	1342.132568	9.613037109
106.9681561	50.99565118	56.6986084	1351.898193	1342.102051	9.796142578
107.947613	53.97116045	58.04443359	1351.867676	1342.071533	9.796142578
110.9696372	53.97116045	59.6282959	1352.233887	1342.132568	10.10131836
112.969537	53.97116045	59.67407227	1352.325439	1342.193604	10.13183594
113.9479132	56.99244678	60.97412109	1352.325439	1342.132568	10.19287109
116.9663682	56.99244678	62.74108887	1352.783203	1342.224121	10.55908203
118.9697571	56.99244678	62.84179688	1352.813721	1342.254639	10.55908203
119.9482071	59.96795605	64.26086426	1352.935791	1342.193604	10.7421875
122.9679182	59.96795605	65.85388184	1353.210449	1342.315674	10.89477539
124.9700551	59.96795605	65.82641602	1353.240967	1342.193604	11.04736328
125.9497681	62.98924239	67.2088623	1353.424072	1342.285156	11.13891602
128.9682171	62.98924239	68.87512207	1353.790283	1342.437744	11.35253906
130.9716051	62.98924239	68.83850098	1353.912354	1342.468262	11.4440918
131.9500551	65.96475166	70.20263672	1353.912354	1342.437744	11.47460938
134.9697871	65.96475166	71.71325684	1354.248047	1342.498779	11.74926758
136.971899	65.96475166	71.90551758	1354.400635	1342.468262	11.93237305
137.9516041	68.98603799	73.26049805	1354.46167	1342.559814	11.90185547
140.9700692	68.98603799	74.88098145	1354.888916	1342.529297	12.35961914
142.9734681	68.98603799	74.85351562	1355.010986	1342.590332	12.4206543
143.9516571	71.96154726	76.19934082	1354.949951	1342.590332	12.35961914
146.9703741	71.96154726	77.70080566	1355.407715	1342.712402	12.6953125
148.9736891	71.96154726	77.82897949	1355.377197	1342.74292	12.63427734
149.953341	74.9828336	79.21142578	1355.651855	1342.651367	13.00048828
152.972038	74.9828336	80.84106445	1356.079102	1342.773438	13.30566406
154.974355	74.9828336	80.86853027	1355.926514	1342.712402	13.21411133
155.9527981	77.95834287	82.26013184	1355.957031	1342.773438	13.18359375
158.972589	77.95834287	83.71582031	1356.262207	1342.773438	13.48876953
160.9956582	77.95834287	83.71582031	1356.323242	1342.956543	13.36669922
161.9741001	80.97962921	85.08911133	1356.506348	1342.895508	13.61083984
164.9728892	80.97962921	86.75537109	1354.553223	1342.987061	11.56616211
166.976459	80.97962921	86.79199219	1354.034424	1342.956543	11.07788086
167.9546442	83.95513848	88.05541992	1354.034424	1342.895508	11.13891602
170.973376	83.95513848	89.65759277	1354.187012	1343.078613	11.10839844
172.9767141	83.95513848	89.59350586	1354.156494	1343.078613	11.07788086
173.956192	86.97642481	91.04919434	1354.125977	1343.139648	10.98632813
176.9749742	86.97642481	92.63305664	1354.522705	1343.292236	11.23046875
178.9770141	86.97642481	92.55065918	1354.553223	1343.200684	11.35253906
179.9564931	89.99771115	93.97888184	1354.58374	1343.292236	11.29150391
182.9748511	89.99771115	95.62683105	1354.888916	1343.261719	11.62719727
184.977972	89.99771115	95.59020996	1354.827881	1343.322754	11.50512695
185.9574161	92.97322042	97.01843262	1354.858398	1343.231201	11.62719727
188.9758921	92.97322042	98.65722656	1355.285645	1343.353271	11.93237305
190.9792371	92.97322042	98.51989746	1355.194092	1343.353271	11.84082031
191.9577141	95.99450675	100.0488281	1355.072021	1343.444824	11.62719727
194.9774392	95.99450675	101.550293	1355.407715	1343.444824	11.96289063
196.9795921	95.99450675	101.6418457	1355.438232	1343.383789	12.05444336
197.9592621	98.97001602	103.0426025	1355.438232	1343.505859	11.93237305
200.9777391	98.97001602	104.4342041	1355.59082	1343.62793	11.96289063
202.960119	98.97001602	104.4799805	1354.980469	1343.536377	11.4440918
203.9396031	101.9913024	105.8898926	1355.041504	1343.566895	11.47460938
206.9583552	101.9913024	107.5286865	1355.377197	1343.658447	11.71875
208.960413	101.9913024	107.6202393	1355.529785	1343.658447	11.87133789
209.939857	104.9668116	108.9660645	1355.438232	1343.597412	11.84082031
212.9583302	104.9668116	110.3668213	1355.499268	1343.933105	11.56616211
214.961715	104.9668116	110.5133057	1355.407715	1343.811035	11.59667969
215.9411552	107.988098	111.9873047	1355.316162	1343.87207	11.4440918
218.9597011	107.988098	113.3239746	1355.316162	1343.902588	11.41357422
220.963012	107.988098	113.3605957	1355.407715	1343.902588	11.50512695
221.9414542	110.9636072	114.7064209	1355.59082	1343.811035	11.77978516
224.959924	110.9636072	116.4916992	1355.560303	1344.024658	11.53564453
226.9595301	110.9636072	116.4550781	1355.59082	1344.085693	11.50512695
227.9427531	113.9848936	117.6727295	1355.316162	1344.116211	11.19995117
230.961246	113.9848936	119.3481445	1355.743408	1344.238281	11.50512695
232.959578	113.9848936	119.3572998	1355.682373	1344.146729	11.53564453
233.943047	116.9604028	120.7946777	1355.743408	1344.238281	11.50512695
236.9617751	116.9604028	122.3236084	1355.743408	1344.299316	11.4440918
238.960346	116.9604028	122.2320557	1355.865479	1344.268799	11.59667969
239.943783	119.9816892	123.71521	1356.018066	1344.299316	11.71875
242.9625721	119.9816892	125.2349854	1356.140137	1344.390869	11.74926758
244.9611452	119.9816892	125.2349854	1356.079102	1344.451904	11.62719727
245.965585	122.9571984	126.7272949	1355.957031	1344.482422	11.47460938
248.964138	122.9571984	128.2928467	1355.895996	1344.543457	11.35253906
250.9626992	122.9571984	128.2836914	1356.231689	1344.512939	11.71875
251.9448812	125.9784848	129.8034668	1356.201172	1344.482422	11.71875
254.9649391	125.9784848	131.25	1356.170654	1344.604492	11.56616211
256.963496	125.9784848	131.350708	1356.262207	1344.573975	11.68823242
257.966897	128.9997711	132.7423096	1356.170654	1344.63501	11.53564453
260.9643731	128.9997711	134.3261719	1356.384277	1344.787598	11.59667969
262.9641681	128.9997711	134.3444824	1356.628418	1344.665527	11.96289063
263.947356	131.9752804	135.836792	1356.384277	1344.75708	11.62719727
266.9658141	131.9752804	137.2741699	1356.750488	1344.75708	11.9934082
268.9644661	131.9752804	137.2741699	1356.628418	1344.787598	11.84082031
269.9476161	134.9965667	138.78479	1356.567383	1344.848633	11.71875
272.965986	134.9965667	140.2954102	1356.5979	1345.001221	11.59667969
274.965884	134.9965667	140.3503418	1356.781006	1345.001221	11.77978516
275.9490731	137.972076	141.696167	1356.689453	1344.909668	11.77978516
278.9675522	137.972076	143.3074951	1356.933594	1344.970703	11.96289063
280.966187	137.972076	143.2525635	1356.689453	1344.940186	11.74926758
281.9493711	140.9933623	144.744873	1357.36084	1345.001221	12.35961914
284.9678371	140.9933623	146.1639404	1356.842041	1345.214844	11.62719727
286.9674232	140.9933623	146.2280273	1357.147217	1345.123291	12.02392578
287.9493852	143.9688716	147.7020264	1357.269287	1345.123291	12.14599609
290.969151	143.9688716	149.1851807	1356.964111	1345.245361	11.71875
292.9674711	143.9688716	149.2126465	1357.177734	1345.184326	11.9934082
293.9507201	146.9901579	150.6317139	1357.116699	1345.275879	11.84082031
296.9691792	146.9901579	152.1148682	1357.299805	1345.52002	11.77978516
298.968771	146.9901579	152.1148682	1357.23877	1345.397949	11.84082031
299.9482191	149.9656672	153.5705566	1357.391357	1345.52002	11.87133789
302.9704831	149.9656672	155.0994873	1357.543945	1345.611572	11.93237305
304.9690711	149.9656672	155.2093506	1357.543945	1345.550537	11.9934082
