a	b
0	-0.305175344
0	-0.3662105
0	-0.366211031
0	-0.244141031
0	-0.244141031
0	-0.183105031
0	-0.366211188
0	-0.427246031
0	-0.305176031
0	-0.427246188
0	-0.366211031
0	-0.427246344
0.146520147	-0.366211188
0	-0.305176187
0	-0.244141031
0	-0.366211344
0.293040293	-0.366211188
0	-0.244141031
0	-0.183105187
0	-0.305176187
0	-0.366211344
0	-0.244141031
0	-0.3662105
0	-0.366211188
0	-0.305176187
0	-0.244141031
0	-0.122070031
0	-0.366211188
0	-0.366211188
0	-0.305175344
0.146520147	-0.122069875
0	-0.244141031
0	-0.488281344
0	-0.366211344
0	-0.305176031
0	-0.122069875
0	-0.427246188
0	-0.244141031
0	-0.244141031
0	-0.305176031
0	-0.366211031
0	-0.366211344
0	-0.305176031
0	-0.244140719
0	-0.122069875
0	-0.366210875
9.523809524	3.540038656
4.102564103	3.540038656
29.74358974	5.432128906
15.38461538	3.906250469
15.67765568	3.601074219
16.55677656	3.601073906
17.87545788	3.173828281
15.09157509	3.356934062
18.46153846	3.417968906
15.23809524	3.540039375
19.04761905	3.479004375
19.48717949	3.540039531
18.31501832	3.723145
19.78021978	3.906250156
20.36630037	3.845215312
18.31501832	3.906250469
19.63369963	3.967285469
18.16849817	3.845214469
19.63369963	4.089355094
19.48717949	4.028319938
19.34065934	4.21142625
20.65934066	4.08935525
20.95238095	4.272461406
18.16849817	4.394531031
22.27106227	4.333495719
22.41758242	4.394531031
22.85714286	4.455566875
25.93406593	4.455566344
22.85714286	4.4555665
25.34798535	4.394531187
22.56410256	4.699706656
23.58974359	4.638671812
25.2014652	4.638671656
25.78754579	4.821777438
22.56410256	4.821777125
27.10622711	4.882812437
27.98534799	5.065917906
28.57142857	4.943847594
27.54578755	4.94384775
27.10622711	5.065918063
29.15750916	5.065917906
28.86446886	5.065918063
25.49450549	5.187988219
27.3992674	5.187988375
26.52014652	5.004882906
26.95970696	5.371093844
28.42490842	5.371093844
31.94139194	5.310058844
30.18315018	5.249023844
27.69230769	5.249023
32.38095238	5.432129312
31.64835165	5.493163625
30.32967033	5.432129312
32.82051282	5.615234625
33.84615385	5.737304938
30.76923077	5.79834025
32.38095238	5.615233938
33.26007326	5.67626925
32.52747253	5.859374563
37.06959707	5.737304406
34.13919414	5.981444875
33.55311355	5.859374875
35.16483516	5.920409719
35.45787546	5.981445031
35.16483516	6.103515344
36.63003663	6.1645505
36.04395604	6.1035155
36.48351648	6.347655813
37.50915751	6.164550656
37.65567766	6.408690969
37.8021978	6.225585969
38.24175824	6.530761281
39.26739927	6.469726813
40.14652015	6.469726125
41.31868132	6.713867594
40.73260073	6.408691281
39.56043956	6.530761437
41.17216117	6.591796594
40.87912088	6.652831594
41.02564103	6.591796906
42.49084249	6.713866906
42.78388278	6.713867062
40.29304029	6.652832063
41.46520147	6.53076175
41.17216117	6.835937375
42.1978022	6.835937219
42.34432234	6.958007844
40.87912088	7.019042687
43.36996337	6.896972688
43.51648352	6.958007687
43.95604396	7.080078156
44.83516484	7.019043
43.95604396	7.141113156
47.61904762	7.202148469
46.00732601	7.141113156
45.12820513	7.202148312
50.98901099	7.385253938
47.03296703	7.385254094
46.73992674	7.385253938
45.42124542	7.324218938
46.44688645	7.385253938
48.93772894	7.56835925
49.23076923	7.690429719
49.37728938	7.690429719
48.05860806	7.568358875
51.42857143	7.629394875
48.93772894	7.812500344
50.54945055	7.812500188
51.72161172	7.9345705
51.13553114	7.751465031
52.01465201	7.751464344
49.23076923	7.934569813
50.4029304	7.8735355
53.04029304	7.8124995
54.21245421	7.873534656
52.6007326	7.934569813
53.62637363	7.934570656
55.38461538	8.117675281
52.16117216	8.117675281
55.67765568	8.178710438
53.04029304	8.17871075
55.23809524	8.23974575
55.82417582	8.23974575
54.50549451	8.36181675
54.21245421	8.483886906
56.55677656	8.544922219
56.26373626	8.422851219
56.7032967	8.605956531
55.23809524	8.422851219
58.60805861	8.483886687
58.02197802	8.483886219
55.67765568	8.666991688
59.63369963	8.605957
59.48717949	8.728027156
61.83150183	8.789062312
60.21978022	8.911132781
60.65934066	8.789062469
60.65934066	9.094237938
61.83150183	8.972167937
63.44322344	8.911133094
62.85714286	9.03320325
63.15018315	9.216308562
61.68498168	8.972168094
63.2967033	8.850097938
61.39194139	9.460449187
63.2967033	9.155273406
64.76190476	9.277343562
64.61538462	9.399414188
62.27106227	9.399414344
63.88278388	9.521484187
64.90842491	9.277343875
65.05494505	9.5825195
67.83882784	9.5825195
66.66666667	9.704589969
64.61538462	9.704590125
67.98534799	9.5825195
66.95970696	9.887695281
68.27838828	9.765624812
68.42490842	9.704589969
67.3992674	9.887695281
68.27838828	9.88769575
70.91575092	10.00976591
67.83882784	9.887694906
70.47619048	10.07080091
71.5018315	10.07080122
71.5018315	10.19287138
71.20879121	10.31494169
70.62271062	10.31494138
76.04395604	10.07080069
71.35531136	10.13183553
67.83882784	10.25390584
70.91575092	10.25390584
71.94139194	10.375977
73.11355311	10.19287084
72.82051282	10.55908163
74.57875458	10.314941
75.31135531	10.49804678
74.28571429	10.86425741
72.08791209	10.62011747
74.43223443	10.68115194
73.55311355	10.80322241
74.57875458	10.92529256
77.06959707	10.98632772
75.8974359	10.98632772
73.99267399	11.29150434
72.82051282	11.16943334
75.6043956	11.2304685
78.24175824	10.98632819
78.24175824	11.10839819
77.50915751	11.10839834
80	11.23046866
79.26739927	11.23046866
79.70695971	11.29150397
77.36263736	11.35253897
80.14652015	11.23046828
80.73260073	11.35253928
80	11.41357428
80.14652015	11.59667991
80.43956044	11.90185538
81.31868132	11.71875006
81.9047619	11.65771506
80.73260073	11.90185553
81.02564103	11.77978522
82.05128205	12.08496069
84.24908425	12.08496116
80.73260073	12.02392569
86.3003663	12.145996
84.68864469	12.08496116
84.83516484	12.084961
85.86080586	12.084961
84.68864469	12.20703162
85.42124542	12.145996
87.32600733	12.08496131
86.88644689	11.0473635
86.59340659	10.98632819
88.79120879	10.68115188
88.4981685	10.68115188
86.73992674	10.86425734
89.37728938	11.16943397
90.84249084	10.9252925
88.4981685	10.80322288
90.25641026	10.9252925
88.93772894	10.92529334
88.79120879	11.10839881
92.01465201	11.16943313
92.6007326	10.92529266
91.57509158	11.04736297
89.81684982	10.74218719
92.6007326	11.1083985
90.6959707	10.8642575
94.65201465	10.92529297
92.01465201	10.80322219
92.45421245	10.80322219
93.77289377	10.8642575
94.50549451	10.98632766
93.47985348	10.98632766
94.06593407	10.9252925
95.53113553	10.98632766
93.47985348	10.68115203
95.53113553	10.92529297
96.11721612	11.04736312
95.67765568	10.86425781
96.41025641	10.74218766
94.06593407	10.68115234
97.14285714	10.92529266
97.87545788	10.80322266
98.75457875	10.74218734
97.58241758	11.16943375
97.58241758	11.16943359
102.1245421	11.23046844
99.04761905	10.98632828
98.46153846	11.04736312
99.34065934	10.86425781
97.87545788	11.04736344
100.0732601	11.04736312
100.952381	11.04736312
101.3919414	10.86425781
100.952381	11.23046859
101.6849817	11.04736344
102.4175824	11.41357422
102.5641026	10.98632813
103.5897436	11.04736312
103.2967033	11.16943359
103.2967033	10.86425781
103.1501832	11.23046891
102.1245421	11.41357453
104.3223443	10.68115234
106.0805861	11.04736375
104.4688645	11.16943375
105.0549451	11.04736344
106.5201465	10.98632859
105.4945055	11.29150406
107.8388278	11.41357438
106.6666667	10.98632859
106.2271062	11.04736375
109.1575092	11.16943391
109.8901099	10.86425744
105.4945055	11.04736359
109.4505495	11.65771531
108.1318681	11.23046922
108.4249084	11.47460984
110.3296703	10.92529259
109.3040293	10.74218713
112.6739927	11.16943337
110.6227106	11.04736306
109.4505495	10.98632775
112.3809524	11.53564447
111.5018315	10.86425775
111.7948718	11.29150353
111.9413919	10.80322228
112.967033	11.23046853
111.9413919	11.04736306
112.3809524	11.16943353
118.2417582	11.29150353
110.9157509	10.98632791
114.1391941	10.92529291
113.1135531	11.47460916
115.3113553	10.98632775
113.1135531	11.10839838
116.1904762	11.23046838
117.3626374	11.47460947
116.043956	11.23046884
114.8717949	10.92529291
120.2930403	11.41357416
116.7765568	11.291504
118.0952381	11.04736353
118.8278388	11.352539
118.3882784	11.16943369
119.7069597	11.77978525
118.2417582	11.10839869
118.3882784	10.74218775
119.8534799	11.23046869
119.4139194	10.98632822
119.4139194	11.47460947
121.025641	11.35253947
122.3443223	11.41357447
122.3443223	11.23046884
