a	b	c	d	e	f
0.857980013	0	0.384521484	1337.890625	1337.70752	0.183105469
2.975532055	0	0.338745117	1337.890625	1337.677002	0.213623047
4.977588177	0	0.073242188	1337.890625	1337.738037	0.152587891
5.957361221	9.97940032	0.082397461	1337.82959	1337.70752	0.122070313
8.975565195	9.97940032	15.88439941	1338.897705	1338.165283	0.732421875
10.97863221	9.97940032	15.8203125	1338.897705	1338.226318	0.671386719
11.95808911	19.95880064	19.46411133	1338.897705	1338.134766	0.762939453
14.95611215	19.95880064	25.6439209	1339.416504	1338.378906	1.037597656
16.958992	19.95880064	25.81787109	1339.385986	1338.409424	0.9765625
17.93819618	29.98397803	30.09338379	1339.630127	1338.409424	1.220703125
20.95742512	29.98397803	35.67810059	1339.752197	1338.684082	1.068115234
22.96029115	29.98397803	35.71472168	1339.904785	1338.684082	1.220703125
23.93949199	39.96337835	40.05432129	1339.996338	1338.806152	1.190185547
26.95770907	39.96337835	45.73974609	1340.301514	1338.95874	1.342773438
28.96077108	39.96337835	45.76721191	1340.240479	1338.83667	1.403808594
29.93928814	49.98855573	50.28076172	1340.637207	1338.989258	1.647949219
32.9592762	49.98855573	55.72814941	1340.881348	1339.141846	1.739501953
34.96156907	49.98855573	55.77392578	1340.881348	1339.202881	1.678466797
35.94001102	59.96795605	60.30578613	1341.156006	1339.233398	1.922607422
38.95981622	59.96795605	65.59753418	1341.308594	1339.416504	1.892089844
40.96211505	59.96795605	65.65246582	1341.339111	1339.324951	2.014160156
41.94181108	69.99313344	69.78149414	1341.61377	1339.447021	2.166748047
44.96034312	69.99313344	75.42114258	1341.949463	1339.569092	2.380371094
46.98338413	69.99313344	75.53100586	1341.888428	1339.691162	2.197265625
47.96311307	79.97253376	80.16357422	1342.102051	1339.752197	2.349853516
50.96063805	79.97253376	85.42785645	1342.407227	1340.026855	2.380371094
52.96424913	79.97253376	85.40039063	1342.407227	1339.996338	2.410888672
53.94240403	89.99771115	89.63012695	1342.62085	1340.148926	2.471923828
56.96245909	89.99771115	95.3704834	1342.987061	1340.270996	2.716064453
58.96451616	89.99771115	95.36132812	1343.017578	1340.209961	2.807617188
59.94395113	99.97711147	99.82910156	1343.292236	1340.484619	2.807617188
62.96267819	99.97711147	105.0567627	1343.505859	1340.515137	2.990722656
64.96480799	99.97711147	105.1849365	1343.536377	1340.637207	2.899169922
65.94429302	109.9565118	109.0667725	1343.719482	1340.881348	2.838134766
68.96286416	109.9565118	114.9353027	1344.116211	1340.881348	3.234863281
70.96585512	109.9565118	115.0268555	1344.207764	1340.85083	3.356933594
71.94530416	119.9816892	119.229126	1344.451904	1341.033936	3.41796875
